idx,latitude,longitude,date,filename,ai,find 
85,37.123199462890625,127.23500061035156,2023-09-20,pothole123353654.jpg,0,0
86,37.123199462890625,127.23500061035156,2023-09-20,pothole(1).jpeg,1,2
87,37.123199462890625,127.23500061035156,2023-09-20,KakaoTalk_20230919_172637722.jpg,0,0
88,37.123199462890625,127.23500061035156,2023-09-20,pothole(1).jpeg,1,2
89,37.123199462890625,127.23500061035156,2023-09-20,pothole(2).jpg,1,3
90,37.123199462890625,127.23500061035156,2023-09-20,pothole(3).jpg,1,4
91,37.123199462890625,127.23500061035156,2023-09-20,pothole(4).jpg,1,3
92,37.123199462890625,127.23500061035156,2023-09-20,pothole(5).jpg,1,1
93,37.123199462890625,127.23500061035156,2023-09-20,pothole(6).jpg,1,2
94,37.123199462890625,127.23500061035156,2023-09-20,pothole(7).jpg,1,1
95,37.123199462890625,127.23500061035156,2023-09-20,pothole(8).jpg,1,1
96,37.123199462890625,127.23500061035156,2023-09-20,pothole123353654.jpg,1,4
97,37.123199462890625,127.23500061035156,2023-09-20,pothole(2).jpg,1,3
98,37.123199462890625,127.23500061035156,2023-09-20,pothole(3).jpg,1,4
105,37.123199462890625,127.23500061035156,2023-09-20,gettyimages-183851840.jpg,1,1
106,37.123199462890625,127.23500061035156,2023-09-20,pothole-in-road.jpg,1,1
107,37.123199462890625,127.23500061035156,2023-09-20,Alligator-to-pothole.jpg,1,3
108,37.123199462890625,127.23500061035156,2023-09-20,gettyimages-183851840.jpg,1,1
109,37.123199462890625,127.23500061035156,2023-09-20,pothole-in-road.jpg,1,1
110,37.123199462890625,127.23500061035156,2023-09-20,Pothole-min.jpg,1,3
111,37.123199462890625,127.23500061035156,2023-09-21,KakaoTalk_20230919_172637722.jpg,0,0
113,37.27475357055664,127.11267852783203,2023-09-19,KakaoTalk_20230919_172637722.jpg,0,0
114,37.27475357055664,127.11267852783203,2023-09-19,KakaoTalk_20230919_172637722.jpg,0,0
